0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42846,-12.880320000000001,-12.343079999999999,-6.494020000000001,-5.91146,-4.46704,-3.63636,-3.4667540000000003,-1.5840800000000002,-1.52568,-1.0775,0.06510400000000019,-4.59766,-3.0147799999999996,-2.81378,-4.8184,-4.35788,-12.1794,-8.407219999999999
-11.23142,-12.10368,-11.35306,-3.3852199999999995,-2.5618000000000003,-1.21836,-2.0202,-0.8668200000000006,5.34664,5.439500000000001,7.0033,6.113904,1.7077999999999995,6.23142,8.64342,8.449000000000002,9.49572,-3.1409999999999996,6.56818
-9.65514,-10.550239999999999,-9.96702,-0.06915999999999958,1.77324,1.82734,-0.6060600000000002,2.7331199999999995,12.673240000000002,12.6037,13.8721,10.406504,9.589599999999999,15.67862,19.89962,19.735999999999997,19.83712,8.3976,18.58778
-8.86698,-9.579239999999999,-8.38278,2.625222000000001,4.926019999999999,4.06086,-0.6060600000000002,6.33318,17.22764,17.180880000000002,17.508460000000003,11.38212,17.2742,22.91482,27.33682,26.07258,24.1298,19.166800000000002,25.09018
-7.0935999999999995,-7.831639999999998,-6.9967,3.661482000000001,7.684659999999999,5.0761,0.4040399999999999,8.93318,19.6038,19.37,18.9226,11.57724,22.5944,25.5278,29.7488,27.656799999999997,24.325,26.089999999999996,25.681400000000004
-6.69952,-6.666579999999999,-6.79868,2.8324580000000004,7.684659999999999,4.67002,0.4040399999999999,8.533179999999998,17.02956,17.579,17.104400000000002,9.821159999999999,22.7914,21.70862,25.52764,23.30032,19.25186,25.32072,19.375999999999998
-6.1083799999999995,-6.860760000000001,-4.62046,0.5526780000000002,6.50248,2.63962,-1.21212,7.533240000000001,12.47508,13.797900000000002,13.064060000000001,6.50398,18.25934,13.869399999999999,17.08544,14.587400000000002,10.08126,17.4361,7.750400000000001
-5.91132,-6.860760000000001,-4.22442,-1.105362,5.320220000000001,1.42134,-2.42424,6.9333,9.90086,10.4148,9.427679999999999,4.1626,13.136099999999999,7.23618,9.04522,5.874599999999999,1.1056599999999999,7.4361000000000015,-3.284
