0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
3.8462,-1.9608,5.7051,4.6602,6.7974,4.8077,-3.9291,5.614,9.4155,11.707,3.873,-4.6761,3.9024,8.6349,3.8647,3.7821,-0.12821,5.6872,2.7937
-0.96154,-0.98039,5.7051,4.6602,6.7974,3.8462,-2.963,7.5279,9.4155,10.732,1.9683,-4.6761,3.9024,7.6825,3.8647,2.8205,0.83333,5.6872,3.746
1.9231,0.0,7.6282,3.6893,5.817,1.9231,-1.9968,8.4848,7.5197,9.7561,1.0159,-6.5719,0.0,5.7778,3.8647,2.8205,-0.12821,2.8436,2.7937
2.8846,-1.9608,6.6667,0.7767,3.8562,1.9231,-1.9968,5.614,6.5719,8.7805,1.9683,-1.8325,0.0,5.7778,3.8647,2.8205,-0.12821,2.8436,3.746
0.0,-2.9412,4.7436,0.7767,4.8366,2.8846,-1.0306,7.5279,6.5719,9.7561,3.873,1.0111,5.8537,6.7302,2.8986,3.7821,-1.0897,4.7393,2.7937
1.9231,-2.9412,1.859,1.7476,5.817,3.8462,0.90177,8.4848,5.624,9.7561,4.8254,3.8547,6.8293,6.7302,3.8647,5.7051,0.83333,7.5829,5.6508
0.96154,0.0,-1.9872,-0.19417,4.8366,2.8846,0.90177,0.82935,3.7283,8.7805,4.8254,6.6983,5.8537,6.7302,6.7633,6.6667,4.6795,9.4787,9.4603
-2.8846,3.9216,-5.8333,-1.165,3.8562,0.96154,2.8341,-1.0845,-0.06319,5.8537,4.8254,4.8025,4.878,5.7778,7.7295,7.6282,5.641,9.4787,10.413
-1.9231,4.902,-8.7179,-4.0777,2.8758,-0.96154,3.8003,-3.9553,-2.9068,1.9512,1.9683,1.9589,2.9268,1.9683,4.8309,4.7436,3.7179,8.5308,8.5079
-1.9231,1.9608,-9.6795,-7.9612,-2.0261,-3.8462,1.868,-5.8692,-6.6983,-1.9512,-1.8413,3.8547,1.9512,0.06349,2.8986,0.89744,1.7949,8.5308,7.5556
-5.7692,-1.9608,-10.641,-12.816,-8.8889,-6.7308,-0.06441,-8.74,-8.594,-5.8537,-4.6984,5.7504,0.97561,-1.8413,0.0,-1.0256,2.7564,6.6351,8.5079
-12.5,-5.8824,-11.603,-15.728,-14.771,-11.538,-2.963,-5.8692,-11.438,-10.732,-5.6508,1.9589,-0.97561,-6.6032,-3.8647,-2.9487,1.7949,2.8436,6.6032
-7.6923,-7.8431,-7.7564,-14.757,-14.771,-10.577,-5.8615,-4.9123,-13.333,-13.659,-6.6032,-1.8325,-1.9512,-9.4603,-6.7633,-5.8333,-2.0513,0.94787,1.8413
-4.8077,-6.8627,-2.9487,-10.874,-10.85,-8.6538,-4.8953,-3.9553,-12.385,-14.634,-7.5556,-5.624,-3.9024,-10.413,-8.6957,-9.6795,-5.8974,-0.94787,-1.9683
-0.96154,-3.9216,-0.0641,-5.0485,-6.9281,-5.7692,-2.963,-1.0845,-8.594,-11.707,-5.6508,-1.8325,-3.9024,-9.4603,-9.6618,-9.6795,-3.9744,-2.8436,-4.8254
2.8846,-1.9608,0.89744,-3.1068,-3.9869,-5.7692,-0.06441,-0.12759,-6.6983,-7.8049,-1.8413,2.9068,-0.97561,-6.6032,-7.7295,-5.8333,-0.12821,-2.8436,-4.8254
1.9231,0.0,-0.0641,-4.0777,-3.0065,-2.8846,0.90177,1.7863,-5.7504,-5.8537,0.06349,3.8547,1.9512,-4.6984,-5.7971,-2.9487,2.7564,-2.8436,-4.8254
-2.8846,0.0,-1.9872,-5.0485,-5.9477,-3.8462,0.90177,0.82935,-6.6983,-5.8537,0.06349,1.0111,1.9512,-4.6984,-5.7971,-2.9487,2.7564,-2.8436,-4.8254
-4.8077,0.0,-2.9487,-6.0194,-4.9673,-0.96154,1.868,0.82935,-3.8547,-3.9024,1.0159,3.8547,5.8537,-0.88889,-3.8647,-1.9872,3.7179,0.94787,-1.9683
-3.8462,-0.98039,-2.9487,-4.0777,-3.9869,-0.96154,0.90177,-0.12759,-2.9068,-1.9512,1.0159,4.8025,3.9024,-0.88889,-2.8986,-0.0641,3.7179,-1.8957,-1.9683
-3.8462,-3.9216,-4.8718,-4.0777,-4.9673,-2.8846,-1.9968,-2.9984,-1.9589,-2.9268,0.06349,0.06319,0.97561,-1.8413,-2.8986,-0.0641,4.6795,-3.7915,-1.9683
-6.7308,-3.9216,-3.9103,-3.1068,-4.9673,-2.8846,-1.9968,-2.0415,-0.06319,-0.97561,1.0159,1.9589,1.9512,0.06349,0.96618,1.859,7.5641,0.0,0.88889
-2.8846,-1.9608,-1.9872,0.7767,-1.0458,0.0,-0.06441,-2.0415,1.8325,1.9512,2.9206,2.9068,1.9512,1.9683,2.8986,4.7436,5.641,0.0,1.8413
2.8846,0.0,-1.9872,3.6893,2.8758,2.8846,-0.06441,1.7863,1.8325,2.9268,3.873,0.06319,0.97561,1.0159,3.8647,5.7051,2.7564,0.0,0.88889
