0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11.58600, 19.35300, 10.71900, 12.36600, 15.53400, 22.00000, 30.08400, 19.83400, 19.80200, 24.62000, 32.25600, 30.85300, 27.51600, 26.13100, 31.24600, 38.80600, 38.96400, 32.44400, 41.74800
15.469,17.411,13.66,16.511,17.476,20.0,27.069,19.834,18.812,23.63,33.266,32.786,25.556,24.121,31.246,43.781,43.819,30.54,44.66
7.7023,10.615,6.7974,14.439,13.592,17.0,23.049,12.869,15.842,22.64,32.256,32.786,15.752,19.095,31.246,44.776,43.819,25.778,46.602
10.615,10.615,4.8366,9.2573,15.534,16.0,21.039,8.8889,13.861,22.64,29.226,26.989,10.85,15.075,29.226,39.801,35.081,20.063,37.864
5.7605,11.586,3.8562,13.402,17.476,22.0,20.034,13.864,17.822,24.62,29.226,25.056,22.614,22.111,32.256,36.816,30.227,24.825,33.01
9.644,12.557,4.8366,13.402,24.272,25.0,22.044,18.839,21.782,26.601,29.226,21.192,28.497,26.131,30.236,30.846,22.46,27.683,26.214
11.586,15.469,9.7386,25.838,31.068,30.0,25.059,26.799,33.663,35.512,33.266,22.158,39.281,39.196,38.316,30.846,21.489,38.159,29.126
18.382,17.411,14.641,29.983,37.864,28.0,25.059,29.784,42.574,43.432,35.286,25.056,46.144,51.256,49.428,34.826,26.343,51.492,36.893
18.382,19.353,14.641,34.128,36.893,30.0,28.074,28.789,43.564,46.403,38.316,29.887,49.085,58.291,58.519,43.781,35.081,60.063,48.544
26.149,27.12,15.621,27.91,35.922,31.0,35.109,26.799,38.614,44.422,40.337,35.684,44.183,55.276,59.529,47.761,40.906,61.968,53.398
23.236,27.12,10.719,16.511,22.33,27.0,32.094,19.834,26.733,30.561,32.256,32.786,36.34,44.221,47.407,40.796,37.994,54.349,46.602
23.236,25.178,12.68,14.439,16.505,20.0,29.079,18.839,18.812,18.68,24.175,26.989,32.418,35.176,33.266,33.831,37.994,45.778,38.835
29.061,28.091,21.503,18.584,13.592,15.0,25.059,18.839,12.871,8.7789,16.094,21.192,25.556,23.116,19.125,25.871,38.964,36.254,33.01
34.887,30.032,28.366,21.693,21.359,18.0,25.059,26.799,16.832,12.739,20.135,26.023,29.477,21.106,18.114,30.846,48.673,32.444,36.893
39.741,37.799,29.346,22.729,24.272,25.0,33.099,28.789,18.812,15.71,26.195,32.786,31.438,18.09,20.135,37.811,55.469,29.587,40.777
31.003,31.974,19.542,9.2573,8.7379,13.0,23.049,12.869,2.9703,1.8482,11.044,17.327,14.771,2.0101,7.0034,24.876,37.994,10.54,27.184
39.741,35.858,22.484,17.547,17.476,19.0,23.049,16.849,15.842,10.759,18.114,22.158,22.614,17.085,19.125,31.841,39.935,19.111,33.981
39.741,40.712,26.405,29.983,25.243,28.0,32.094,28.789,29.703,23.63,27.205,30.853,39.281,37.186,37.306,40.796,43.819,38.159,44.66
44.595,38.77,30.327,28.946,27.184,25.0,28.074,32.769,31.683,24.62,22.155,20.225,44.183,43.216,40.337,35.821,34.11,44.825,39.806
41.683,37.799,33.268,37.237,33.981,31.0,31.089,42.72,43.564,37.492,31.246,21.192,57.908,59.296,54.478,42.786,37.994,61.016,48.544
43.625,38.77,36.209,40.345,42.718,37.0,35.109,47.695,52.475,49.373,43.367,29.887,63.791,68.342,65.589,52.736,45.761,71.492,57.282
40.712,40.712,40.131,49.672,45.631,43.0,39.129,53.665,59.406,57.294,52.458,39.549,66.732,72.362,72.66,61.692,54.498,76.254,67.961
