0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-5.94770, -8.80260,  1.89540, -9.34710,-12.62100,-13.06500,-10.11700, -1.06670, -4.95050,-16.96400,-17.15200,-12.68600,  1.04070,-10.16800,-21.17300,-17.91000,-17.34600,-10.41300,-13.59300
-4.9673,-7.8317,-3.9869,-8.3162,-10.68,-10.05,-10.117,-4.0667,-7.9208,-15.974,-14.137,-5.89,-11.642,-17.239,-20.168,-14.925,-11.521,-21.841,-14.569
-2.0261,-2.9773,-3.9869,-5.2234,-6.7961,-4.0201,-2.0771,-7.0667,-13.861,-13.993,-8.1072,-0.06472,-20.423,-21.279,-19.162,-13.93,-6.6667,-26.603,-16.52
-0.06536,1.877,-1.0458,-4.1924,-0.97087,3.0151,4.9581,-10.067,-11.881,-8.0528,-2.0771,5.7605,-19.447,-18.249,-15.142,-13.93,-5.6958,-22.794,-15.545
4.8366,4.7896,1.8954,-0.06873,4.8544,8.0402,8.9782,0.93333,-0.9901,1.8482,2.9481,8.6731,-11.642,-5.1178,-3.0821,-5.9701,0.12945,-11.365,-8.7154
7.7778,4.7896,11.699,7.1478,6.7961,8.0402,4.9581,6.9333,2.9703,6.7987,4.9581,8.6731,-8.7154,0.94276,5.9631,0.0,1.1003,-6.6032,-7.7398
5.817,4.7896,2.8758,6.1168,4.8544,5.0251,4.9581,-6.0667,-3.9604,2.8383,2.9481,1.877,-17.496,-7.138,3.9531,0.0,-2.7832,-10.413,-11.642
3.8562,2.8479,0.91503,4.055,6.7961,9.0452,5.9631,-10.067,-4.9505,5.8086,8.9782,4.7896,-9.6911,-3.0976,8.9782,8.9552,4.0129,1.9683,1.0407
-1.0458,-2.0065,-0.06536,-2.1306,3.8835,5.0251,5.9631,-10.067,-4.9505,3.8284,4.9581,2.8479,2.0163,0.94276,7.9732,9.9502,3.0421,10.54,8.8455
-9.8693,-9.7735,-7.9085,-12.44,-9.7087,-9.0452,-8.1072,-7.0667,-10.891,-10.033,-13.132,-10.744,2.9919,-8.1481,-8.1072,-6.9652,-11.521,4.8254,-0.91057
-14.771,-15.599,-11.83,-12.44,-13.592,-14.07,-19.162,-3.0667,-9.901,-15.974,-21.173,-17.54,2.0163,-13.199,-18.157,-16.915,-20.259,-0.88889,-7.7398
-17.712,-18.511,-8.8889,-16.564,-16.505,-16.08,-21.173,-9.0667,-13.861,-18.944,-24.188,-20.453,-8.7154,-20.269,-28.208,-24.876,-25.113,-10.413,-15.545
-18.693,-18.511,-3.9869,-18.625,-17.476,-17.085,-19.162,-8.0667,-17.822,-21.914,-23.183,-17.54,-14.569,-23.3,-32.228,-27.861,-22.201,-17.079,-17.496
-21.634,-22.395,-10.85,-18.625,-19.417,-20.101,-20.168,-9.0667,-19.802,-22.904,-24.188,-15.599,-13.593,-23.3,-33.233,-27.861,-18.317,-19.937,-19.447
-21.634,-21.424,-10.85,-17.595,-18.447,-20.101,-21.173,-11.067,-16.832,-19.934,-21.173,-12.686,-7.7398,-20.269,-25.193,-21.891,-10.55,-18.032,-15.545
-15.752,-18.511,-4.9673,-11.409,-13.592,-15.075,-19.162,-5.0667,-10.891,-11.023,-12.127,-7.8317,-4.813,-14.209,-12.127,-8.9552,0.12945,-12.317,-6.7642
-11.83,-15.599,-2.0261,-9.3471,-8.7379,-10.05,-14.137,-0.06667,-8.9109,-6.0726,-4.0871,-4.9191,-5.7886,-9.1582,-4.0871,-0.99502,3.0421,-9.4603,-4.813
-5.9477,-9.7735,-0.06536,-2.1306,1.9417,0.0,-3.0821,0.93333,0.9901,5.8086,5.9631,1.877,-0.91057,4.9832,8.9782,7.9602,6.9256,-2.7937,2.0163
-0.06536,-3.9482,3.8562,7.1478,11.65,12.06,4.9581,3.9333,13.861,19.67,17.018,7.7023,7.8699,19.125,24.054,19.9,14.693,11.492,12.748
-0.06536,-4.9191,2.8758,5.0859,10.68,10.05,-6.0972,6.9333,9.901,20.66,15.008,4.7896,10.797,19.125,27.069,21.891,14.693,17.206,15.675
3.8562,-0.06472,6.7974,10.241,13.592,9.0452,-7.1022,9.9333,12.871,21.65,15.008,8.6731,17.626,22.155,29.079,23.881,18.576,29.587,26.407
6.7974,8.6731,2.8758,12.302,13.592,10.05,6.9682,5.9333,14.851,18.68,14.003,12.557,23.48,23.165,25.059,20.896,17.605,35.302,29.333
3.8562,4.7896,8.7582,5.0859,4.8544,0.0,2.9481,8.9333,6.9307,4.8185,-1.072,4.7896,21.528,11.044,6.9682,4.9751,3.0421,22.921,15.675
3.8562,-0.06472,14.641,5.0859,-0.97087,-7.0352,-6.0972,12.933,2.9703,-6.0726,-13.132,-6.8608,12.748,-2.0875,-12.127,-11.94,-12.492,5.7778,1.0407
9.7386,3.8188,17.582,9.2096,3.8835,-2.0101,-5.0921,11.933,1.9802,-6.0726,-7.1022,-2.9773,1.0407,-10.168,-18.157,-14.925,-11.521,-8.5079,-5.7886
